dataset_id	publication	year	repository	accession	modality	n_patients	n_samples	primary_or_metastatic	metastatic_site	treatment_annotation	molecular_annotation	matched_samples	raw_available	processed_available	estimated_download_size	clinical_relevance_score	target_discovery_value	priority	status	reason
GSE178318	A Single-Cell Atlas of Liver Metastases of Colorectal Cancer Reveals the Reprogramming of the Tumor Microenvironment in Response to Preoperative Chemotherapy	2021	GEO	GSE178318	scRNA-seq	6	15	PRIMARY_AND_METASTASIS	LIVER	CHEMOTHERAPY_PREOPERATIVE	UNKNOWN	YES	YES	YES	520.7 MB processed matrix plus metadata	3	3	P0_DOWNLOAD	CANDIDATE	Official GEO record verified; six labelled patients, matched primary/liver/PBMC samples, processed matrix available; usage terms request PI contact.
GSE224235	Spatially Resolved Transcriptomics Deconvolutes Histological Prognostic Subgroups in Patients with Colorectal Cancer and Synchronous Liver Metastases	2023	GEO	GSE224235	nCounter_GeoMx_spatial_context	9	17	PRIMARY_AND_METASTASIS	LIVER	UNKNOWN	UNKNOWN	PARTIAL	YES	YES	170 KB raw archive; processed values in sample table	2	2	P0_DOWNLOAD	CANDIDATE	Context comparator only: official GEO record verifies matched primary/metastatic lesions and a 900-gene nCounter panel; GeoMx availability is unconfirmed, so do not claim genome-wide surface-target discovery.
GSE226997	Visium Spatial transcriptomics analysis of human primary colorectal cancer	2023	GEO	GSE226997	Visium_spatial_transcriptomics	4	4	PRIMARY	NA	UNTREATED_OR_UNKNOWN	UNKNOWN	NO	YES	YES	41.2 GB raw archive; processed supplementary files available	1	2	REFERENCE_ONLY	CANDIDATE	Official GEO record verified; four primary CRC patients; comparator only and raw archive is intentionally out of scope.
GSE260797	CRC single-cell/spatial subseries	UNKNOWN	GEO	GSE260797	scRNA-seq_and_spatial	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	1	2	P1_DOWNLOAD	CANDIDATE	Verify human patient relevance and orthogonality.
GSE260798	CRC single-cell/spatial subseries	UNKNOWN	GEO	GSE260798	scRNA-seq_and_spatial	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	1	2	P1_DOWNLOAD	CANDIDATE	Verify human patient relevance and orthogonality.
GSE260799	CRC single-cell/spatial subseries	UNKNOWN	GEO	GSE260799	scRNA-seq_and_spatial	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	1	2	P1_DOWNLOAD	CANDIDATE	Verify human patient relevance and orthogonality.
GSE260800	CRC single-cell/spatial subseries	UNKNOWN	GEO	GSE260800	scRNA-seq_and_spatial	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	1	2	P1_DOWNLOAD	CANDIDATE	Verify human patient relevance and orthogonality.
DepMap_26Q1	DepMap Public current release	2026	DepMap	DepMap_26Q1	CRISPR_dependency_expression_genomics	UNKNOWN	UNKNOWN	CELL_LINES	NA	UNKNOWN	MUTATION_CNV	NO	YES	UNKNOWN	UNKNOWN	1	3	P0_DOWNLOAD	CANDIDATE	Official 26Q1 release page and release announcement verified; bulk download portal requires interactive verification; CRC subset, license, and exact file URLs still to record.
PXD038149	Proteotranscriptomic analysis of advanced colorectal cancer patient derived organoids for drug sensitivity prediction	2025	PRIDE	PXD038149	proteomics_transcriptomics_drug_response	UNKNOWN	UNKNOWN	ORGANOID	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	YES	UNKNOWN	PRIDE FTP archive; seven non-raw files indexed; sample workbook staging remains blocked	2	3	P0_DOWNLOAD	CANDIDATE	ProteomeXchange/PRIDE record verified; advanced and heavily pre-treated PDOs, SWATH-MS, bulk RNA-seq, and functional drug assays; publication PMID 36604765.
MCRC_liver_metastasis_PDO_2026	Patient-derived organoids from metastatic colorectal cancer mirror tumor heterogeneity and predict patient survival and drug sensitivity	2026	Mendeley_Data	hr94h42xdc.3	organoid_multiomics_drug_response	102	213	METASTASIS	LIVER	DRUG_SCREEN	MUTATION_RNA_PROTEIN	UNKNOWN	YES	YES	25.2 MB five processed/derived files; Mendeley Data v3	3	3	P0_DOWNLOAD	CANDIDATE	Mendeley Data v3 accession and CC BY 4.0 files verified: Data S1 mutation, S2 RNA counts, S3 mIHC protein, S4 raw drug-screen measurements and S5 DSS; no download or approval; sample-level clinical/treatment reconciliation remains pending.
